media_key,tmdb_id,media_type,title,original_title,overview,release_date,first_air_date,last_air_date,year,rating,vote_count,popularity,budget,revenue,runtime,number_of_seasons,number_of_episodes,episode_run_time,genres,language,origin_country,status,tv_type,networks,production_companies,adult,poster_local,trailer_youtube,trailer_embed
movie_1311031,1311031,movie,Истребитель демонов: Бесконечный замок,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"Во время подготовки к решающему сражению с демонами члены Корпуса и столпы проходят изнурительную программу — Тренировку Хашира. Но внезапно сам Музан Кибуцудзи появляется в особняке Убуяшики. Когда глава Корпуса оказывается в смертельной опасности, Танджиро и Хашира спешат на помощь, но Музан втягивает их в таинственное пространство — замок Бесконечности, логово демонов. Так начинается финальное сражение между охотниками на демонов и силами зла.",2025-07-18,,,2025,7.715,865,99.4283,20000000,733030221,155,0,0,,"мультфильм, боевик, фэнтези",ja,JP,Released,,,"ufotable, Aniplex, Shueisha",False,anime_posters/movie_1311031.jpg,,
movie_1218925,1218925,movie,Человек-бензопила. Фильм: История Резе,劇場版 チェンソーマン レゼ篇,"Молодой охотник на демонов Дэндзи, который ждал свидания со своей возлюбленной Макимой, попадает под ливень. Укрывшись от дождя, он случайно встречает девушку по имени Резе, работающую в соседнем кафе. Та добродушно ему улыбается, и разговор становится более непринужденным. После этой встречи повседневная жизнь Дэндзи начинает меняться.",2025-09-19,,,2025,8.416,938,25.7741,4100000,191400000,100,0,0,,"мультфильм, боевик, мелодрама, фэнтези",ja,JP,Released,,,MAPPA,False,anime_posters/movie_1218925.jpg,,
movie_1244492,1244492,movie,Оглянись,ルックバック,"Ученица четвёртого класса Фудзино рисует короткие комиксы для школьной газеты. Взрослые и одноклассники хвалят её талант, но однажды она встречает соперницу — одноклассницу Кёмото, которая, хоть и не посещает школу, тоже рисует для той же газеты. Поражённая уровнем мастерства Кёмото и пытаясь угнаться за ней, Фудзино бросает все силы на то, чтобы научиться лучше рисовать.",2024-06-28,,,2024,8.1,565,9.0035,0,12648664,62,0,0,,"мультфильм, драма",ja,JP,Released,,,"Studio Durian, avex pictures, Shueisha",False,anime_posters/movie_1244492.jpg,,
movie_508883,508883,movie,Мальчик и птица,君たちはどう生きるか,"Через три года после начала Тихоокеанской войны мама мальчика Махито погибла при пожаре в Токио, а ещё через год отец женился на её сестре и отправил сына в фамильное поместье в сельской местности. Глава семьи работает на оборонном заводе и редко бывает дома, поэтому мальчику приходится проводить дни с беременной мачехой и в окружении пожилой прислуги, и, кроме того, с самого первого дня его донимает подозрительная серая цапля. Однажды птица говорит Махито, что может отвести его к матери, и заманивает в загадочную башню, которую окружает множество местных легенд.",2023-07-14,,,2023,7.402,2646,16.4211,50000000,294200000,124,0,0,,"мультфильм, фэнтези, драма",ja,JP,Released,,,Studio Ghibli,False,anime_posters/movie_508883.jpg,https://www.youtube.com/watch?v=6pU47lfTge4,https://www.youtube.com/embed/6pU47lfTge4
movie_1062807,1062807,movie,Семья шпиона – Код: Белый,劇場版 SPY×FAMILY CODE: White,"Мастерский шпион с кодовым именем «Сумрак» проводит свои дни в закулисных миссиях, всё ради мечты о лучшем мире. Но однажды он получает особенно сложное новое указание от командования. Для этой миссии он обязательно должен завести фиктивную семью и начать новую жизнь! Шпионская экшен-комедия об единственной в своём роде семье!",2023-12-22,,,2023,7.156,645,4.4515,5000000,59629242,110,0,0,,"мультфильм, комедия, приключения, боевик",ja,JP,Released,,,"WIT STUDIO, CloverWorks, TOHO, Shueisha, TV Tokyo, Shogakukan-Shueisha Productions",False,anime_posters/movie_1062807.jpg,,
movie_1083862,1083862,movie,Обитель Зла: Остров Смерти,バイオハザード：デスアイランド,"Агент Министерства обороны Леон С. Кеннеди отправляется на задание по спасению доктора Антонио Тейлора от похитителей, но таинственная женщина мешает его преследованию. Тем временем агент B.S.A.A. Крис Редфилд расследует вспышку зомби в Сан-Франциско, причину которой не удаётся установить. Единственное, что объединяет жертв, это то, что все они недавно посещали остров Алькатрас. Следуя этой подсказке, Крис и его команда отправляются на остров, где их ждёт новый ужас.",2023-06-22,,,2023,7.266,1117,3.889,0,53929,87,0,0,,"боевик, мультфильм, фантастика, ужасы",ja,JP,Released,,,"Capcom, Quebico, Sony Pictures, Sammy, Robot Communications, KADOKAWA, TMS Entertainment",False,anime_posters/movie_1083862.jpg,,
movie_916224,916224,movie,"Судзумэ, закрывающая двери",すずめの戸締まり,"16-летняя Судзумэ живёт в тихом городке на острове Кюсю. Однажды по дороге в школу она встречает молодого путешественника, который спрашивает, где в окрестностях находятся развалины. Любопытство берёт верх, и девушка решает посмотреть, что же там такого интересного — пробирается на местную заброшку, находит там загадочную дверь, открывает её и вытаскивает из земли странный камень. Вскоре из открытой двери выбирается гигантская сущность и провоцирует землетрясение. Теперь Судзумэ вместе с тем самым незнакомцем, внезапно обращенным в детский стульчик, приходится отправиться в погоню за вредным говорящим котиком, чтобы закрыть открывающиеся по всей стране двери и предотвратить новые разрушения.",2022-11-11,,,2022,7.889,1749,14.8213,13000000,314992206,121,0,0,,"мультфильм, драма, приключения, фэнтези",ja,JP,Released,,,"CoMix Wave Films, Story, Lawson Entertainment, jeki, voque ting, KADOKAWA, Aniplex, TOHO",False,anime_posters/movie_916224.jpg,,
movie_610150,610150,movie,Драконий жемчуг: Супер — супергерой,ドラゴンボール超 スーパーヒーロー,"Сорок один год назад на планете Вегета, родине печально известной расы сайянских воинов, король Вегета заметил ребенка по имени Броли, чья скрытая сила превосходила силу его собственного сына. Полагая, что сила Броли однажды превзойдет силу его ребенка, Вегеты, король отправляет Броли на пустынную планету Вампа. Спустя годы на Земле Гокуу Сон и принц Вегета - считающиеся последними выжившими представителями расы Сайян - заняты тренировками на отдаленном острове. Но их спарринг прерывается, когда появление их старого врага Фризы заставляет их искать последний из исполняющих желания Шаров Дракона на замерзшем континенте. Оказавшись там, Фриза демонстрирует своих новых союзников: Парагуса и теперь чрезвычайно могущественного Броли. Легендарная битва, сотрясающая основы мира, начинается, когда Гокуу и Вегета сталкиваются с Броли, бесподобным воином, ярость которого только и ждет, чтобы его развязать.",2022-06-11,,,2022,7.888,3032,4.9287,0,86600000,100,0,0,,"мультфильм, фантастика, боевик",ja,JP,Released,,,"Toei Animation, Shueisha, Fuji Television Network, Bandai Namco Entertainment, Toei Company, Bandai, Bandai Spirits",False,anime_posters/movie_610150.jpg,,
movie_900667,900667,movie,Ван-Пис: Красный,ONE PIECE FILM RED,"Пираты Соломенной шляпы встречают певицу Уту, чей голос и песни покорили мир. Девушка готовится к первому концерту, когда вдруг выясняется, что она — дочь капитана Шанкса.",2022-08-06,,,2022,7.215,1129,4.8637,0,171315305,115,0,0,,"мультфильм, приключения, боевик, фэнтези",ja,JP,Released,,,"Toei Animation, Shueisha, Toei Company, Fuji Television Network, Bandai, Bandai Namco Entertainment, ADK Emotions, dentsu",False,anime_posters/movie_900667.jpg,https://www.youtube.com/watch?v=KfaG1ZFjJCg,https://www.youtube.com/embed/KfaG1ZFjJCg
movie_783675,783675,movie,Коронный бросок. Фильм,THE FIRST SLAM DUNK,"Ханамичи Сакураги - хулиган, у которого долгое время не ладилось с девушками. Поступив в старшую школу Сёхоку, Ханамичи заинтересовался девушкой по имени Харуко, которая любит баскетбол.",2022-12-03,,,2022,7.771,536,2.5437,0,258000000,124,0,0,,"мультфильм, комедия, драма",ja,JP,Released,,,"Toei Animation, Toei Company, DandeLion Animation Studio",False,anime_posters/movie_783675.jpg,,
