id,title,original_title,overview,release_date,year,rating,vote_count,budget,revenue,runtime,genres,language,adult,poster_local,trailer_youtube,trailer_embed
931285,Мортал Комбат 2,Mortal Kombat II,"Чемпионы Земного царства вместе с Джонни Кейджем вступают в схватку друг с другом, чтобы предотвратить тёмное правление Шао Кана.",2026-05-06,2026,7.993,1415,80000000,128857238,116,"боевик, фэнтези, приключения",en,False,posters2/931285.jpg,https://www.youtube.com/watch?v=PimLf-HdQ20,https://www.youtube.com/embed/PimLf-HdQ20
936075,Майкл,Michael,"Захватывающий и честный портрет гениального, но противоречивого человека, ставшего королём поп-музыки. Триумфы и трагедии его жизни — от личных испытаний и внутренней борьбы до раскрытия творческого гения, воплощённого в самых легендарных выступлениях артиста. Зрителям предстоит увидеть, как никогда прежде, внутренний мир одного из самых влиятельных и новаторских музыкантов в истории.",2026-04-22,2026,8.641,2529,250000000,934009960,128,"музыка, драма",en,False,posters2/936075.jpg,https://www.youtube.com/watch?v=y6lhHDABCzM,https://www.youtube.com/embed/y6lhHDABCzM
1226863,Супер Марио: Галактическое кино,The Super Mario Galaxy Movie,"После победы над Боузером и спасения Бруклина, Марио сталкивается со злобным альянсом Варио и Боузера-младшего. Теперь вместе со своими друзьями и Йоши он должен помешать их планам по завоеванию мирового господства.",2026-04-01,2026,8.185,2639,110000000,1000843925,98,"семейный, комедия, приключения, фэнтези, мультфильм",en,False,posters2/1226863.jpg,https://www.youtube.com/watch?v=DTsV9Cl8SWs,https://www.youtube.com/embed/DTsV9Cl8SWs
1304313,Мумия,Lee Cronin's The Mummy,"Семью работающего в Каире американского журналиста Чарли Кэннона постигает трагедия — бесследно пропадает его маленькая дочь Кэти. Поиски ни к чему не приводят, полиция бессильно разводит руками. Восемь лет спустя Кэнноны живут в Нью-Мексико и внезапно получают обнадёживающее известие: Кэти нашлась. Девочку обнаружили в древнем саркофаге, она не говорит и очень плохо выглядит.",2026-04-15,2026,8.043,1853,22000000,90452113,135,"ужасы, детектив",en,False,posters2/1304313.jpg,https://www.youtube.com/watch?v=rs-cKDx3h2w,https://www.youtube.com/embed/rs-cKDx3h2w
1007757,В чужой шкуре,Swapped,"Крошечное лесное существо и величественная птица внезапно поменялись телами, и теперь им предстоит вместе пережить самое безумное приключение в своей жизни.",2026-05-01,2026,8.966,1698,0,0,102,"приключения, мультфильм, семейный, фэнтези",en,False,posters2/1007757.jpg,,
687163,Проект «Конец света»,Project Hail Mary,"Астронавт Райленд Грейс просыпается на космическом корабле, не помня ни себя, ни свою миссию. Постепенно мужчина приходит к выводу, что он — единственный выживший из экипажа, отправленного в звёздную систему Тау Кита в поисках спасения от катастрофы на Земле. Райленду предстоит положиться на свои обширные научные знания, изобретательность и силу воли, но, возможно, ему не придётся искать в одиночку.",2026-03-15,2026,8.685,5139,200000000,681404846,156,"фантастика, приключения",en,False,posters2/687163.jpg,https://www.youtube.com/watch?v=gF6_ZwY6u3I,https://www.youtube.com/embed/gF6_ZwY6u3I
1439930,Каратель: Последнее убийство,The Punisher: One Last Kill,"Пока Фрэнк Касл ищет смысл жизни за пределами мести, неожиданная сила вновь втягивает его в борьбу.",2026-05-12,2026,8.3,1623,0,0,51,"боевик, драма, криминал",en,False,posters2/1439930.jpg,,
1327819,Прыгуны,Hoppers,"Любительница животных Мейбл использует умную новуютехнологию, предназначенную для «перескакивания» человеческого сознанияв реалистичных роботизированных животных, чтобы общаться с бобрами, раскрывая тайны животного мира, которые она даже не могла себе представить.",2026-03-04,2026,8.183,1615,150000000,372010783,104,"приключения, мультфильм, комедия, семейный, фантастика",en,False,posters2/1327819.jpg,https://www.youtube.com/watch?v=ngrz1qTFsq8,https://www.youtube.com/embed/ngrz1qTFsq8
1290821,Убежище,Shelter,"Бывший боец спецотряда MI6 Майкл Мейсон живёт отшельником вместе с псом на одном из небольших уединённых островов Шотландии, скрываясь от своего прошлого. Периодически к нему приплывает на лодке его сослуживец с племянницей Джесси и привозит припасы. Однажды во время шторма лодка переворачивается, дядя девочки погибает, но Майкл успевает спасти Джесси, которая получает серьёзную травму ноги. Поняв, что без лекарств ногу не вылечить, Мейсон выбирается в ближайший городок на материке, где его засекают сотрудники MI6. А вскоре на остров, где находятся Майкл и Джесси, высаживается отряд спецназа.",2026-01-28,2026,7.7,1245,50000000,53933639,107,"боевик, криминал, триллер",en,False,posters2/1290821.jpg,https://www.youtube.com/watch?v=kAkw4QuU6jY,https://www.youtube.com/embed/kAkw4QuU6jY
1318447,На вершине,Apex,"Скорбящая женщина проверяет себя на прочность в австралийской пустыне и оказывается втянутой в изощренную игру с коварным убийцей, считающим ее своей добычей.",2026-04-24,2026,6.82,1476,0,0,96,"боевик, триллер",en,False,posters2/1318447.jpg,https://www.youtube.com/watch?v=IEqUbfTK1FE,https://www.youtube.com/embed/IEqUbfTK1FE
