id,name,original_name,overview,first_air_date,last_air_date,first_air_year,rating,vote_count,popularity,number_of_seasons,number_of_episodes,episode_run_time,genres,language,origin_country,status,tv_type,networks,production_companies,adult,poster_local,trailer_youtube,trailer_embed
273240,Вне кампуса,Off Campus,"Отличница и поп-певица Ханна влюблена в местную знаменитость - звезду футбола Джастина Кола, но тот не замечает девушку. Чтобы обратить на себя внимание Джастина и заставить ревновать, она заключает договор с капитаном университетской хоккейной команды. Он должен сыграть роль её жениха, а Ханна поможет ему улучшить успеваемость. Однако надёжный план даёт сбой.",2026-05-13,2026-05-13,2026,9.0,469,327.1642,1,8,,драма,en,US,Returning Series,Scripted,Prime Video,"Amazon MGM Studios, Temple Hill Entertainment, Billings Productions",False,series_posters/273240.jpg,,
220102,Паук-Нуар,Spider-Noir,"Нью-Йорк, 1930-ые. Частный детектив Бен Райлли, который переживает не лучшие времена, сталкивается со своим прошлым. Бену, единственному супергерою в городе, приходится бороться с внутренними демонами и снова стать Человеком-пауком, чтобы спасти мегаполис и себя.",2026-05-25,2026-05-25,2026,8.556,541,116.9875,1,8,,"драма, детектив, криминал",en,US,Returning Series,Scripted,MGM+,"Pascal Pictures, Lord Miller, Sony Pictures Television, Amazon MGM Studios, Bohemian Risk, Oren, Marvel Comics",False,series_posters/220102.jpg,https://www.youtube.com/watch?v=XV6ngc-NVmw,https://www.youtube.com/embed/XV6ngc-NVmw
224372,Рыцарь Семи Королевств,A Knight of the Seven Kingdoms,"Вестерос за 100 лет до борьбы Дейенерис Таргариен за Железный Трон. Наивный, но отважный рыцарь сир Дункан Высокий знакомится с мальчиком по имени Эгг, который скрывает тайну своего происхождения. Сделав мальчишку своим оруженосцем, Дункан вместе с ним отправляется в путешествие по континенту, периодически попадая в различные передряги.",2026-01-18,2026-02-22,2026,8.438,929,34.5681,1,6,,"драма, НФ и Фэнтези, Боевик и Приключения",en,US,Returning Series,Scripted,HBO,"Friendly Wolf Pictures, GRRM",False,series_posters/224372.jpg,https://www.youtube.com/watch?v=s5_4nCAnclU,https://www.youtube.com/embed/s5_4nCAnclU
259731,Его и ее,HIS & HERS,"Двое враждующих супругов — детектив и журналистка — соревнуются в расследовании убийства, в котором каждый считает другого главным подозреваемым.",2026-01-08,2026-01-08,2026,7.298,443,12.2254,1,6,,"драма, криминал, детектив",en,US,Ended,Miniseries,Netflix,"Fifth Season, Freckle Films, Viva Maude, Small Wishes, Campout Productions, Headhunter Films",False,series_posters/259731.jpg,,
250307,Больница Питт,The Pitt,"Повседневная жизнь медицинских работников в Питтсбургской больнице, когда онисталкиваются с личными кризисами, политикой на рабочем месте и эмоциональными нагрузками, связанными с лечением тяжелобольных пациентов, демонстрирует стойкость, необходимую для их благородного призвания.",2025-01-09,2026-04-16,2025,8.7,785,52.8263,3,30,,драма,en,US,Returning Series,Scripted,"Max, HBO Max","John Wells Productions, Warner Bros. Television, R. Scott Gemmill Productions",False,series_posters/250307.jpg,https://www.youtube.com/watch?v=kuWXlLfOc60,https://www.youtube.com/embed/kuWXlLfOc60
202555,Сорвиголова: Рождённый заново,Daredevil: Born Again,"Слепому адвокату Мэтту Мёрдоку снова приходится облачиться в костюм Сорвиголовы, чтобы противостоять криминальному авторитету Уилсону Фиску, который решил занять пост мэра Нью-Йорка.",2025-03-04,2026-05-05,2025,8.183,973,45.2184,2,17,,"драма, Боевик и Приключения, криминал",en,US,Returning Series,Scripted,Disney+,"Marvel Studios, Kevin Feige Productions",False,series_posters/202555.jpg,https://www.youtube.com/watch?v=v_H-Ih2UWRU,https://www.youtube.com/embed/v_H-Ih2UWRU
245927,Рай,Paradise,Команда службы безопасности получает задание защищать бывшего президента.,2025-01-26,2026-03-30,2025,7.5,464,35.5783,2,16,,"криминал, драма",en,US,Returning Series,Scripted,Hulu,"20th Television, Rhode Island Ave. Productions",False,series_posters/245927.jpg,,
247718,Гангстерленд,MobLand,"Харриганы и Стивенсоны, две враждующие лондонские криминальные семьи, вступают в схватку ""убей или будь убитым"", которая грозит обрушением империй и разрушением жизней. Под перекрёстный огонь попадает Гарри Да Соуза, уличный ""мастер на все руки"", столь же опасный, сколь и красивый, который слишком хорошо знает, кому можно доверять, когда сталкиваются противоположные силы. Когда королевство восстанет против королевства, границы будут пересекаться, и единственное спасение — это гарантия того, что ваша жизнь будет на кону: семья превыше всего.",2025-03-30,2025-06-01,2025,8.337,700,33.8722,1,10,52,"криминал, драма",en,"GB, US",Returning Series,Scripted,"Paramount+, Paramount+","MTV Entertainment Studios, 101 Studios, Toff Guy Films, Easter Partisan, Hardy Son & Baker, Paramount Television Studios",False,series_posters/247718.jpg,https://www.youtube.com/watch?v=Vo8mFjI0-LU,https://www.youtube.com/embed/Vo8mFjI0-LU
200875,Оно: Добро пожаловать в Дерри,IT: Welcome to Derry,"1962 год. Военный Лерой Хэнлон вместе с женой Шарлотт и сыном Уиллом переезжают в небольшой город Дерри в штате Мэн. Лерой прибывает на военную базу неподалёку для участия в секретном задании, но новые сослуживцы встречают его с холодом. Когда в городе начинают погибать дети, группа школьников, в которую влился Уилл Хэнлон, расследует цепочку смертей.",2025-10-26,2025-12-14,2025,8.225,1499,25.1508,1,8,,"драма, детектив",en,US,Returning Series,Scripted,HBO,"Warner Bros. Television, Double Dream, Rideback, Vertigo Entertainment, HBO, FiveTen Productions, K Plus Ultra",False,series_posters/200875.jpg,https://www.youtube.com/watch?v=66OBg2C-gU8,https://www.youtube.com/embed/66OBg2C-gU8
301507,Жаркое соперничество,Heated Rivalry,"Два хоккеиста на пике карьеры, будучи заклятыми соперниками, начинают испытывать друг к другу романтические чувства. Неожиданный поворот идёт вразрез с устоями в мире спорта, поэтому обоим героям придётся столкнуться с предрассудками и пройти сквозь огонь и воду.",2025-11-28,2025-12-26,2025,8.733,511,18.4541,1,6,,драма,en,CA,Returning Series,Scripted,Crave,Accent Aigu Entertainment,False,series_posters/301507.jpg,,
